ID,HOME,ENTER,EXIT,Executed,TENURE,Killed,Arrested,TYPE,Gender,eventyear
1,PB,1920,1931,1,11,1,,PGK,Male,1930
2,HN,1921,1922,1,1,,1,PGK,Male,1921
3,HB,,,0,,,,PGK,Male,
4,KN,1919,1946,0,27,,,PGK,Male,
5,PB,1919,1920,0,1,,,PGK,Male,
6,PB,1926,1935,0,9,,,PGK,Male,
7,PB,,,1,,1,,PGK,Male,1920
8,PB,1925,1946,0,21,,,PGK,Male,
9,HN,1918,1946,0,28,,,PGK,Male,
10,HN,1910,1946,0,36,,,PGK,Male,
11,HN,1919,1925,1,6,,1,PGK,Male,1922
12,HN,1918,1924,0,6,,,PGK,Male,
13,HH,1920,1921,0,1,,,PGK,Male,
14,GB,1920,1922,1,2,,1,PGK,Male,1920
15,KB,,,1,,,1,PGK,Male,1943
16,HH,1911,1941,0,30,,,PGK,Male,
17,CN,1921,1926,0,5,,,PGK,Male,
18,CB,1925,1946,0,21,,,PGK,Male,
19,CB,1925,1936,1,11,1,,PGK,Male,1935
20,PB,1933,1936,1,3,,1,PGK,Male,1935
21,PN,1919,1946,1,27,,1,PGK,Female,1928
22,KB,1918,1946,0,28,,,PGK,Male,
23,KB,,,0,,,,PGK,Male,
24,PB,,,0,,,,PGK,Male,
25,PS,1919,1934,0,15,,,PGK,Male,
26,GW,1934,1936,0,2,,,PGK,Male,
27,CN,1915,1939,0,24,,,PGK,Male,
28,HH,1929,1946,0,17,,,PGK,Male,
29,PN,1919,1922,1,3,,1,PGK,Male,1920
30,HH,1940,1945,0,5,,,PGK,Male,
31,NA,1923,1925,1,2,,1,PGK,Male,1924
32,HH,1902,1946,0,44,,,PGK,Male,
33,KK,1907,1946,0,39,,,PGK,Male,
34,GN,1918,1921,1,3,,1,PGK,Male,1919
35,CB,1919,1924,0,5,,,PGK,Male,
36,HH,1919,1944,0,25,,,PGK,Male,
37,KN,1910,1943,0,33,,,PGK,Male,
38,GN,1929,1933,0,4,,,PGK,Male,
39,SL,1936,1945,1,9,,1,PGK,Male,1936
40,HB,1907,1921,1,14,,1,PGK,Male,1920
41,PB,1919,1926,0,7,,,PGK,Male,
42,PB,1924,1944,0,20,,,PGK,Male,
43,DG,1934,1935,1,1,,1,PGK,Male,1934
44,PB,1919,1920,1,1,,1,PGK,Male,1919
45,PB,1931,1936,0,5,,,PGK,Male,
46,PN,1919,1939,0,20,,,PGK,Male,
47,PS,1919,1946,0,27,,,PGK,Male,
48,NA,1934,1937,0,3,,,PGK,Male,
49,PB,1919,1931,1,12,,1,PGK,Male,1930
50,PN,1919,1946,0,27,,,PGK,Male,
51,SL,1915,1937,0,22,,,PGK,Male,
52,KB,1906,1946,0,40,,,PGK,Male,
53,HB,,,0,,,,PGK,Male,
54,GN,1924,1934,1,10,,1,PGK,Male,1933
55,GW,1919,1926,0,7,,,PGK,Male,
56,PB,1919,1946,0,27,,,PGK,Male,
57,GW,1916,1946,0,30,,,PGK,Male,
58,CB,1930,1946,0,16,,,PGK,Male,
59,KN,1926,1936,1,10,,1,PGK,Male,1933
60,WS,1931,1937,1,6,,1,PGK,Male,1936
61,PB,,,0,,,,PGK,Male,
62,PN,1919,1922,1,3,,1,PGK,Male,1921
63,PB,1919,1946,0,27,,,PGK,Male,
64,HH,1938,1946,0,8,,,PGK,Male,
65,PB,1919,1941,0,22,,,PGK,Male,
66,PB,1930,1946,0,16,,,PGK,Male,
67,KK,1907,1945,0,38,,,PGK,Male,
68,PN,1913,1946,0,33,,,PGK,Male,
69,PB,1931,1946,0,15,,,PGK,Male,
70,NA,1919,1922,1,3,1,,PGK,Male,1921
71,PB,1933,1946,0,13,,,PGK,Male,
72,HH,1907,1933,0,26,,,PGK,Male,
73,HH,1905,1938,0,33,,,PGK,Male,
74,CN,1919,1946,0,27,,,PGK,Male,
75,HH,1922,1946,0,24,,,PGK,Female,
76,NA,,,0,,,,PGK,Male,
77,SL,1919,1946,0,27,,,PGK,Male,
78,PN,1901,1939,0,38,,,PGK,Male,
79,HH,1936,1941,0,5,,,PGK,Male,
80,HN,1919,1921,1,2,,1,PGK,Male,1920
81,CN,1919,1924,0,5,,,PGK,Male,
82,GN,,,1,,1,,PGK,Male,1943
83,KN,1924,1935,0,11,,,PGK,Male,
84,GN,1941,1946,0,5,,,PGK,Male,
85,KB,1925,1938,1,13,,1,PGK,Male,1938
86,KB,1918,1945,0,27,,,PGK,Male,
87,PN,1918,1946,0,28,,,PGK,Female,
88,NA,1919,1922,1,3,1,,PGK,Male,1921
89,KB,1923,1946,0,23,,,PGK,Male,
90,KK,1915,1916,1,1,,1,PGK,Male,1915
91,PB,1919,1927,0,8,,,PGK,Male,
92,KB,1926,1946,0,20,,,PGK,Male,
93,SL,1926,1937,1,11,1,,PGK,Male,1936
94,KB,1900,1946,0,46,,,PGK,Male,
95,GN,1915,1935,0,20,,,PGK,Male,
96,HH,1921,1946,0,25,,,PGK,Male,
97,HH,1905,1922,0,17,,,PGK,Male,
98,HN,1921,1923,1,2,1,,PGK,Male,1921
99,KN,1909,1920,0,11,,,PGK,Male,
100,NA,,,1,,1,,PGK,Male,1921
101,PN,1919,1946,0,27,,,PGK,Male,
102,PB,,,0,,,,PGK,Male,
103,KB,1924,1928,1,4,,1,PGK,Male,1927
104,HB,1919,1946,0,27,,,PGK,Male,
105,PB,1917,1946,0,29,,,PGK,Male,
106,GB,1918,1946,0,28,,,PGK,Male,
107,PN,1919,1922,1,3,,1,PGK,Male,1921
108,GW,,,1,,,1,PGK,Male,1933
109,KB,1909,1944,0,35,,,PGK,Male,
110,HH,1895,1927,0,32,,,PGK,Male,
111,GN,,,1,,,1,PGK,Male,1920
112,PN,1919,1946,0,27,,,PGK,Female,
113,CN,1924,1945,1,21,1,,PGK,Male,1944
114,HH,1921,1940,1,19,1,,PGK,Male,1938
115,GB,1919,1924,1,5,,1,PGK,Male,1922
116,HH,1921,1939,0,18,,,PGK,Male,
117,PB,1907,1938,0,31,,,PGK,Male,
118,PS,1923,1924,1,1,,1,PGK,Male,1923
119,PB,1912,1940,0,28,,,PGK,Male,
120,CN,1923,1944,0,21,,,PGK,Male,
121,SL,1941,1946,0,5,,,PGK,Male,
122,SL,1913,1933,0,20,,,PGK,Male,
123,SL,1912,1946,0,34,,,PGK,Male,
124,SL,1911,1946,0,35,,,PGK,Male,
125,KB,1912,1934,1,22,,1,PGK,Male,
126,GW,1919,1929,0,10,,,PGK,Male,
127,KK,1927,1939,1,12,,1,PGK,Male,1938
128,NA,,,1,,1,,PGK,Male,
129,PB,1920,1933,0,13,,,PGK,Male,
130,PB,,,0,,,,PGK,Male,
131,KB,,,0,,,,PGK,Male,
132,HB,1919,1921,1,2,,1,PGK,Male,1919
133,GW,,,0,,,,PGK,Male,
134,GN,1913,1921,1,8,,1,PGK,Male,1920
135,PB,1906,1931,1,25,,1,PGK,Male,1930
136,PN,,,1,,,1,PGK,Male,1919
137,PB,1919,1921,0,2,,,PGK,Male,
138,PN,1923,1939,0,16,,,PGK,Male,
139,PB,,,1,,,1,PGK,Male,1920
140,PB,,,1,,,1,PGK,Male,1920
141,GW,1931,1946,0,15,,,PGK,Male,
142,CN,,,0,,,,PGK,Male,
143,HN,1919,1920,1,1,,1,PGK,Male,1919
144,HH,1898,1926,0,28,,,PGK,Male,
145,KB,1921,1923,0,2,,,PGK,Male,
146,NA,,,1,,1,,PGK,Male,
147,PS,1930,1945,0,15,,,PGK,Female,
148,KK,1908,1946,0,38,,,PGK,Male,
149,CB,,,1,,1,,PGK,Male,
150,HH,,,0,,,,PGK,Male,
151,GN,1929,1937,1,8,,1,PGK,Male,1934
152,HN,1938,1946,0,8,,,PGK,Female,
153,KB,1919,1921,1,2,,1,PGK,Male,1920
154,NA,,,1,,1,,PGK,Male,
155,PB,1919,1933,0,14,,,PGK,Male,
156,DG,1907,1946,0,39,,,PGK,Male,
157,KK,1919,1946,0,27,,,PGK,Male,
158,GN,1915,1916,1,1,,1,PGK,Male,1928
159,CN,,,1,,1,,PGK,Male,
160,HH,1915,1946,0,31,,,PGK,Male,
161,HN,,,1,,,1,PGK,Male,1937
162,PS,,,0,,,,PGK,Male,
163,HN,1919,1927,0,8,,,PGK,Male,
164,HH,1931,1946,0,15,,,PGK,Male,
165,PB,,,1,,1,,PGK,Male,
166,HB,1919,1921,0,2,,,PGK,Male,
167,HB,1919,1921,1,2,,1,PGK,Male,1919
168,PB,1914,1946,0,32,,,PGK,Male,
169,CB,1930,1946,0,16,,,PGK,Male,
170,GB,,,0,,,,PGK,Male,
171,KN,1911,1941,0,30,,,PGK,Male,
172,PB,1931,1933,1,2,1,,PGK,Male,1941
173,PN,1910,1932,0,22,,,PGK,Male,
174,KB,1905,1920,0,15,,,PGK,Male,
175,HB,1919,1931,0,12,,,PGK,Male,
176,GW,1938,1946,0,8,,,PGK,Male,
177,PB,1914,1943,0,29,,,PGK,Male,
178,HB,1919,1921,1,2,,1,PGK,Male,1920
179,PN,,,0,,,,PGK,Female,
180,PB,1940,1945,1,5,,1,PGK,Male,1944
181,CB,1912,1946,0,34,,,PGK,Male,
182,PB,1927,1946,0,19,,,PGK,Male,
183,CB,1904,1923,0,19,,,PGK,Male,
184,PN,1919,1941,0,22,,,PGK,Male,
185,KN,1932,1935,1,3,1,,PGK,Male,1936
186,KK,1919,1921,1,2,,1,PGK,Male,1920
187,SL,1915,1946,0,31,,,PGK,Male,
188,PN,1919,1937,0,18,,,PGK,Male,
189,PN,1932,1946,0,14,,,PGK,Male,
190,KK,1915,1946,0,31,,,PGK,Male,
191,KK,1919,1946,0,27,,,PGK,Male,
192,DJ,1904,1929,1,25,,1,PGK,Male,1928
193,KK,1923,1946,0,23,,,PGK,Male,
194,CN,1919,1946,0,27,,,PGK,Male,
195,HB,1930,1946,0,16,,,PGK,Male,
196,HH,1918,1946,0,28,,,PGK,Male,
197,HH,1909,1941,0,32,,,PGK,Male,
198,HH,1931,1939,1,8,,1,PGK,Male,1938
199,PN,,,0,,,,PGK,Male,
200,HH,,,0,,,,PGK,Male,
201,GN,,,0,,,,PGK,Male,
202,PB,1919,1920,1,1,,1,PGK,Male,1919
203,HH,1944,1946,0,2,,,PGK,Male,
204,PN,1923,1946,0,23,,,PGK,Male,
205,HH,1909,1940,0,31,,,PGK,Male,
206,PN,1898,1939,1,41,,1,PGK,Male,1937
207,PN,1898,1939,0,41,,,PGK,Male,
208,GW,1930,1946,0,16,,,PGK,Male,
209,PN,1921,1946,0,25,,,PGK,Male,
210,PB,1906,1946,0,40,,,PGK,Male,
211,KK,1938,1946,0,8,,,PGK,Male,
212,KK,,,1,,,1,PGK,Male,1935
213,HB,,,1,,,1,PGK,Male,1919
214,KK,1919,1946,0,27,,,PGK,Male,
215,KK,1932,1946,0,14,,,PGK,Female,
216,CB,1919,1946,0,27,,,PGK,Male,
217,HN,,,1,,,1,PGK,Male,1919
218,KK,1919,1940,0,21,,,PGK,Male,
219,CN,1919,1920,0,1,,,PGK,Male,
220,PB,1919,1939,0,20,,,PGK,Male,
221,KK,1938,1946,0,8,,,PGK,Female,
222,HH,1920,1946,0,26,,,PGK,Male,
223,SL,,,0,,,,PGK,Male,
224,HN,1919,1928,1,9,,1,PGK,Male,1927
225,PN,1920,1937,1,17,,1,PGK,Male,1939
226,PB,1895,1946,0,51,,,PGK,Male,
227,KB,1929,1946,0,17,,,PGK,Male,
228,KB,1915,1927,0,12,,,PGK,Male,
229,HB,1927,1929,1,2,,1,PGK,Male,1928
230,PB,1920,1937,0,17,,,PGK,Male,
231,GW,1930,1939,1,9,1,,PGK,Male,1932
232,CB,1919,1946,0,27,,,PGK,Male,
233,CN,1932,1933,1,1,,1,PGK,Male,1932
234,PN,,,0,,,,PGK,Male,
235,NA,1911,1916,0,5,,,PGK,Male,
236,GB,1920,1946,0,26,,,PGK,Male,
237,KK,1908,1946,0,38,,,PGK,Male,
238,CN,1934,1946,0,12,,,PGK,Male,
239,SL,1919,1922,1,3,,1,PGK,Male,1921
240,PB,,,0,,,,PGK,Male,
241,PB,1919,1946,0,27,,,PGK,Male,
242,KN,1909,1922,0,13,,,PGK,Male,
243,DG,,,0,,,,PGK,Male,
244,KJ,,,0,,,,PGK,Male,
245,CB,1909,1946,0,37,,,PGK,Male,
246,HH,1935,1936,1,1,,1,PGK,Male,1935
