,ID,HOME,ENTER,EXIT,Executed,TENURE,Killed,Arrested,TYPE,Gender,eventyear,detected,killatt
1,1,PB,1920,1931,1,11,1,NA,PGK,Male,1930,0,0
2,2,HN,1921,1922,1,1,NA,1,PGK,Male,1921,0,0
3,3,HB,NA,NA,0,NA,NA,NA,PGK,Male,NA,NA,NA
4,4,KN,1919,1946,0,27,NA,NA,PGK,Male,NA,NA,NA
5,5,PB,1919,1920,0,1,NA,NA,PGK,Male,NA,NA,NA
6,6,PB,1926,1935,0,9,NA,NA,PGK,Male,NA,NA,NA
7,7,PB,NA,NA,1,NA,1,NA,PGK,Male,1920,0,0
8,8,PB,1925,1946,0,21,NA,NA,PGK,Male,NA,NA,NA
9,9,HN,1918,1946,0,28,NA,NA,PGK,Male,NA,NA,NA
10,10,HN,1910,1946,0,36,NA,NA,PGK,Male,NA,NA,NA
11,11,HN,1919,1925,1,6,NA,1,PGK,Male,1922,0,0
12,12,HN,1918,1924,0,6,NA,NA,PGK,Male,NA,NA,NA
13,13,HH,1920,1921,0,1,NA,NA,PGK,Male,NA,NA,NA
14,14,GB,1920,1922,1,2,NA,1,PGK,Male,1920,0,0
15,15,KB,NA,NA,1,NA,NA,1,PGK,Male,1943,0,0
16,16,HH,1911,1941,0,30,NA,NA,PGK,Male,NA,NA,NA
17,17,CN,1921,1926,0,5,NA,NA,PGK,Male,NA,NA,NA
18,18,CB,1925,1946,0,21,NA,NA,PGK,Male,NA,NA,NA
19,19,CB,1925,1936,1,11,1,NA,PGK,Male,1935,0,0
20,20,PB,1933,1936,1,3,NA,1,PGK,Male,1935,0,0
21,21,PN,1919,1946,1,27,NA,1,PGK,Female,1928,0,0
22,22,KB,1918,1946,0,28,NA,NA,PGK,Male,NA,NA,NA
23,23,KB,NA,NA,0,NA,NA,NA,PGK,Male,NA,NA,NA
24,24,PB,NA,NA,0,NA,NA,NA,PGK,Male,NA,NA,NA
25,25,PS,1919,1934,0,15,NA,NA,PGK,Male,NA,NA,NA
26,26,GW,1934,1936,0,2,NA,NA,PGK,Male,NA,NA,NA
27,27,CN,1915,1939,0,24,NA,NA,PGK,Male,NA,NA,NA
28,28,HH,1929,1946,0,17,NA,NA,PGK,Male,NA,NA,NA
29,29,PN,1919,1922,1,3,NA,1,PGK,Male,1920,0,0
30,30,HH,1940,1945,0,5,NA,NA,PGK,Male,NA,NA,NA
31,31,NA,1923,1925,1,2,NA,1,PGK,Male,1924,0,0
32,32,HH,1902,1946,0,44,NA,NA,PGK,Male,NA,NA,NA
33,33,KK,1907,1946,0,39,NA,NA,PGK,Male,NA,NA,NA
34,34,GN,1918,1921,1,3,NA,1,PGK,Male,1919,1,1
35,35,CB,1919,1924,0,5,NA,NA,PGK,Male,NA,NA,NA
36,36,HH,1919,1944,0,25,NA,NA,PGK,Male,NA,NA,NA
37,37,KN,1910,1943,0,33,NA,NA,PGK,Male,NA,NA,NA
38,38,GN,1929,1933,0,4,NA,NA,PGK,Male,NA,NA,NA
39,39,SL,1936,1945,1,9,NA,1,PGK,Male,1936,0,0
40,40,HB,1907,1921,1,14,NA,1,PGK,Male,1920,0,0
41,41,PB,1919,1926,0,7,NA,NA,PGK,Male,NA,NA,NA
42,42,PB,1924,1944,0,20,NA,NA,PGK,Male,NA,NA,NA
43,43,DG,1934,1935,1,1,NA,1,PGK,Male,1934,0,0
44,44,PB,1919,1920,1,1,NA,1,PGK,Male,1919,1,1
45,45,PB,1931,1936,0,5,NA,NA,PGK,Male,NA,NA,NA
46,46,PN,1919,1939,0,20,NA,NA,PGK,Male,NA,NA,NA
47,47,PS,1919,1946,0,27,NA,NA,PGK,Male,NA,NA,NA
48,48,NA,1934,1937,0,3,NA,NA,PGK,Male,NA,NA,NA
49,49,PB,1919,1931,1,12,NA,1,PGK,Male,1930,0,0
50,50,PN,1919,1946,0,27,NA,NA,PGK,Male,NA,NA,NA
51,51,SL,1915,1937,0,22,NA,NA,PGK,Male,NA,NA,NA
52,52,KB,1906,1946,0,40,NA,NA,PGK,Male,NA,NA,NA
53,53,HB,NA,NA,0,NA,NA,NA,PGK,Male,NA,NA,NA
54,54,GN,1924,1934,1,10,NA,1,PGK,Male,1933,0,0
55,55,GW,1919,1926,0,7,NA,NA,PGK,Male,NA,NA,NA
56,56,PB,1919,1946,0,27,NA,NA,PGK,Male,NA,NA,NA
57,57,GW,1916,1946,0,30,NA,NA,PGK,Male,NA,NA,NA
58,58,CB,1930,1946,0,16,NA,NA,PGK,Male,NA,NA,NA
59,59,KN,1926,1936,1,10,NA,1,PGK,Male,1933,0,0
60,60,WS,1931,1937,1,6,NA,1,PGK,Male,1936,0,0
61,61,PB,NA,NA,0,NA,NA,NA,PGK,Male,NA,NA,NA
62,62,PN,1919,1922,1,3,NA,1,PGK,Male,1921,0,0
63,63,PB,1919,1946,0,27,NA,NA,PGK,Male,NA,NA,NA
64,64,HH,1938,1946,0,8,NA,NA,PGK,Male,NA,NA,NA
65,65,PB,1919,1941,0,22,NA,NA,PGK,Male,NA,NA,NA
66,66,PB,1930,1946,0,16,NA,NA,PGK,Male,NA,NA,NA
67,67,KK,1907,1945,0,38,NA,NA,PGK,Male,NA,NA,NA
68,68,PN,1913,1946,0,33,NA,NA,PGK,Male,NA,NA,NA
69,69,PB,1931,1946,0,15,NA,NA,PGK,Male,NA,NA,NA
70,70,NA,1919,1922,1,3,1,NA,PGK,Male,1921,0,0
71,71,PB,1933,1946,0,13,NA,NA,PGK,Male,NA,NA,NA
72,72,HH,1907,1933,0,26,NA,NA,PGK,Male,NA,NA,NA
73,73,HH,1905,1938,0,33,NA,NA,PGK,Male,NA,NA,NA
74,74,CN,1919,1946,0,27,NA,NA,PGK,Male,NA,NA,NA
75,75,HH,1922,1946,0,24,NA,NA,PGK,Female,NA,NA,NA
76,76,NA,NA,NA,0,NA,NA,NA,PGK,Male,NA,NA,NA
77,77,SL,1919,1946,0,27,NA,NA,PGK,Male,NA,NA,NA
78,78,PN,1901,1939,0,38,NA,NA,PGK,Male,NA,NA,NA
79,79,HH,1936,1941,0,5,NA,NA,PGK,Male,NA,NA,NA
80,80,HN,1919,1921,1,2,NA,1,PGK,Male,1920,0,0
81,81,CN,1919,1924,0,5,NA,NA,PGK,Male,NA,NA,NA
82,82,GN,NA,NA,1,NA,1,NA,PGK,Male,1943,0,0
