,ID,detected,Label,Degree,Eccentricity,Closeness.Centrality,Betweenness.Centrality,Modularity.Class,Authority,Hub,HOME,ENTER,EXIT,Executed,TENURE,Killed,Arrested,TYPE,Gender,eventyear
1,9,0,9,2,7,0.236363636,0.012094672,0,0.003504673,0.003504673,HN,1918,1946,0,28,NA,NA,PGK,Male,NA
2,10,0,10,1,6,0.281927711,0,2,0.002336449,0.002336449,HN,1910,1946,0,36,NA,NA,PGK,Male,NA
3,11,0,11,1,6,0.316216216,0,4,0.002336449,0.002336449,HN,1919,1925,1,6,NA,1,PGK,Male,1922
4,16,0,16,1,6,0.311170213,0,2,0.002336449,0.002336449,HH,1911,1941,0,30,NA,NA,PGK,Male,NA
5,25,0,25,2,6,0.302325581,0.001621335,0,0.003504673,0.003504673,PS,1919,1934,0,15,NA,NA,PGK,Male,NA
6,27,0,27,3,6,0.324099723,6.84E-05,0,0.004672897,0.004672897,CN,1915,1939,0,24,NA,NA,PGK,Male,NA
7,32,0,32,19,5,0.45,0.056852598,2,0.023364486,0.023364486,HH,1902,1946,0,44,NA,NA,PGK,Male,NA
8,33,0,33,13,5,0.410526316,0.028232292,3,0.01635514,0.01635514,KK,1907,1946,0,39,NA,NA,PGK,Male,NA
9,34,1,34,1,8,0.191489362,0,0,0.002336449,0.002336449,GN,1918,1921,1,3,NA,1,PGK,Male,1919
10,35,0,35,1,6,0.291770574,0,3,0.002336449,0.002336449,CB,1919,1924,0,5,NA,NA,PGK,Male,NA
11,37,0,37,2,6,0.344117647,0.000298,3,0.003504673,0.003504673,KN,1910,1943,0,33,NA,NA,PGK,Male,NA
12,40,0,40,4,3,0.52,0.004770097,10,0.005841122,0.005841122,HB,1907,1921,1,14,NA,1,PGK,Male,1920
13,44,1,44,1,6,0.254901961,0,10,0.002336449,0.002336449,PB,1919,1920,1,1,NA,1,PGK,Male,1919
14,46,0,46,7,6,0.335243553,0.005433112,5,0.009345794,0.009345794,PN,1919,1939,0,20,NA,NA,PGK,Male,NA
15,49,0,49,1,6,0.32231405,0,1,0.002336449,0.002336449,PB,1919,1931,1,12,NA,1,PGK,Male,1930
16,50,0,50,3,6,0.296954315,0.023980815,7,0.004672897,0.004672897,PN,1919,1946,0,27,NA,NA,PGK,Male,NA
17,51,0,51,2,6,0.332386364,0.000148,3,0.003504673,0.003504673,SL,1915,1937,0,22,NA,NA,PGK,Male,NA
18,52,0,52,1,1,1,0,6,0.002336449,0.002336449,KB,1906,1946,0,40,NA,NA,PGK,Male,NA
19,55,0,55,3,6,0.307086614,0.023980815,0,0.004672897,0.004672897,GW,1919,1926,0,7,NA,NA,PGK,Male,NA
20,57,0,57,1,6,0.296202532,0,3,0.002336449,0.002336449,GW,1916,1946,0,30,NA,NA,PGK,Male,NA
21,63,0,63,1,1,1,0,8,0.002336449,0.002336449,PB,1919,1946,0,27,NA,NA,PGK,Male,NA
22,65,0,65,4,5,0.344117647,0.003957202,5,0.005841122,0.005841122,PB,1919,1941,0,22,NA,NA,PGK,Male,NA
23,67,0,67,7,5,0.396610169,0.000277,2,0.009345794,0.009345794,KK,1907,1945,0,38,NA,NA,PGK,Male,NA
24,68,0,68,4,5,0.365625,0.004050401,4,0.005841122,0.005841122,PN,1913,1946,0,33,NA,NA,PGK,Male,NA
25,72,0,72,1,6,0.311170213,0,2,0.002336449,0.002336449,HH,1907,1933,0,26,NA,NA,PGK,Male,NA
26,73,0,73,1,6,0.311170213,0,2,0.002336449,0.002336449,HH,1905,1938,0,33,NA,NA,PGK,Male,NA
27,77,0,77,2,7,0.242236025,0.012094672,9,0.003504673,0.003504673,SL,1919,1946,0,27,NA,NA,PGK,Male,NA
28,78,0,78,1,6,0.32231405,0,1,0.002336449,0.002336449,PN,1901,1939,0,38,NA,NA,PGK,Male,NA
29,80,0,80,2,4,0.419354839,0.003127932,10,0.003504673,0.003504673,HN,1919,1921,1,2,NA,1,PGK,Male,1920
30,86,0,86,4,6,0.315363881,0.013906116,0,0.005841122,0.005841122,KB,1918,1945,0,27,NA,NA,PGK,Male,NA
31,87,0,87,2,7,0.229862475,0,7,0.003504673,0.003504673,PN,1918,1946,0,28,NA,NA,PGK,Female,NA
32,91,0,91,2,6,0.328651685,0,1,0.003504673,0.003504673,PB,1919,1927,0,8,NA,NA,PGK,Male,NA
33,94,0,94,9,5,0.396610169,0.030066274,3,0.011682243,0.011682243,KB,1900,1946,0,46,NA,NA,PGK,Male,NA
34,95,0,95,9,6,0.364485981,0.004344788,0,0.011682243,0.011682243,GN,1915,1935,0,20,NA,NA,PGK,Male,NA
35,97,0,97,2,6,0.305483029,0,0,0.003504673,0.003504673,HH,1905,1922,0,17,NA,NA,PGK,Male,NA
36,99,0,99,3,6,0.3046875,0.00490151,1,0.004672897,0.004672897,KN,1909,1920,0,11,NA,NA,PGK,Male,NA
37,101,0,101,9,5,0.414893617,0.05271672,0,0.011682243,0.011682243,PN,1919,1946,0,27,NA,NA,PGK,Male,NA
38,104,0,104,3,5,0.333333333,0.002398082,10,0.004672897,0.004672897,HB,1919,1946,0,27,NA,NA,PGK,Male,NA
39,107,0,107,1,6,0.278571429,0,4,0.002336449,0.002336449,PN,1919,1922,1,3,NA,1,PGK,Male,1921
40,109,0,109,3,6,0.333333333,0.002788915,1,0.004672897,0.004672897,KB,1909,1944,0,35,NA,NA,PGK,Male,NA
41,110,0,110,13,5,0.427007299,0.008266112,2,0.01635514,0.01635514,HH,1895,1927,0,32,NA,NA,PGK,Male,NA
42,112,0,112,2,7,0.229862475,0,7,0.003504673,0.003504673,PN,1919,1946,0,27,NA,NA,PGK,Female,NA
43,115,0,115,2,7,0.242236025,0.012094672,9,0.003504673,0.003504673,GB,1919,1924,1,5,NA,1,PGK,Male,1922
