"","name","nurs","doct","state","zone","area","popu"
"1","Asaokpuaja Health Centre",0,0,"Abia","Southeast",22.77506109,107488
"2","Uwalaka Hospital",8,1,"Abia","Southeast",22.77506109,107488
"3","St. Theresa's Maternity Home and Children's Care.",4,0,"Abia","Southeast",22.77506109,107488
"4","Todac clinic",7,3,"Abia","Southeast",22.77506109,107488
"5","M.C Hospital",9,1,"Abia","Southeast",22.77506109,107488
"7","Eziama P H C",0,0,"Abia","Southeast",22.77506109,107488
"8","Group medical practice. GMP",8,3,"Abia","Southeast",22.77506109,107488
"9","Osoke Amato PHC",0,0,"Abia","Southeast",22.77506109,107488
"10","Umuola Egbelu primary health centre",13,0,"Abia","Southeast",22.77506109,107488
"12","Alpha inland Hospital",8,2,"Abia","Southeast",22.77506109,107488
"13","Osusu 11 PHC",0,0,"Abia","Southeast",22.77506109,107488
"14","Uratta primary health centre",0,0,"Abia","Southeast",22.77506109,107488
"17","Asa okpulo health center",4,0,"Abia","Southeast",22.77506109,107488
"18","Landmark Hospital",7,1,"Abia","Southeast",22.77506109,107488
"19","Ogbor hill PHC",1,0,"Abia","Southeast",22.77506109,107488
"22","Berma Hospital",7,3,"Abia","Southeast",22.77506109,107488
"23","Blessed haven hospital",2,1,"Abia","Southeast",22.77506109,107488
"24","Princess mary specialist hospital",0,5,"Abia","Southeast",22.77506109,107488
"25","Urata primary health center",1,0,"Abia","Southeast",22.77506109,107488
"26","Asaokpuaja Health Centre",0,0,"Abia","Southeast",22.77506109,107488
"28","Delta hospital",5,2,"Abia","Southeast",22.77506109,107488
"29","New life hospital",2,1,"Abia","Southeast",22.77506109,107488
"30","Bright care missionary hospital",6,3,"Abia","Southeast",22.77506109,107488
"31","Evergreen hospital/maternity",4,1,"Abia","Southeast",22.77506109,107488
"35","Princess Mary Hospital",8,5,"Abia","Southeast",22.77506109,107488
"36","Horstman hospital",10,3,"Abia","Southeast",22.77506109,107488
"38","Nwamaka maternity and motherless",4,0,"Abia","Southeast",22.77506109,107488
"39","Umuogorosoke Health Centre",0,0,"Abia","Southeast",22.77506109,107488
"40","Oji clinic",3,1,"Abia","Southeast",22.77506109,107488
"41","Osusu 1 PHC",2,0,"Abia","Southeast",22.77506109,107488
"42","Euna hospital and maternity",8,3,"Abia","Southeast",22.77506109,107488
"44","El-asamen specialist hospital and maternity",2,1,"Abia","Southeast",22.77506109,107488
"46","Nkechinyere maternity",6,0,"Abia","Southeast",22.77506109,107488
"47","Chinwendu clinic",9,1,"Abia","Southeast",22.77506109,107488
"48","Family health clinic",8,1,"Abia","Southeast",22.77506109,107488
"50","Angeled Clinic",6,2,"Abia","Southeast",22.77506109,107488
"52","Nnadozie hospital/ maternity",0,1,"Abia","Southeast",22.77506109,107488
"54","Seventh day Adventist hospital",0,4,"Abia","Southeast",22.77506109,107488
"55","CKC Health Post",0,0,"Abia","Southeast",49.16654183,423852
"56","St James Clinic",0,0,"Abia","Southeast",49.16654183,423852
"62","Chimdima Clinic",5,1,"Abia","Southeast",49.16654183,423852
"63","Mendel Hospital",11,3,"Abia","Southeast",49.16654183,423852
"64","Sancta Maria Hospital",0,5,"Abia","Southeast",49.16654183,423852
"65","Amufuru Primary Health Centre",2,0,"Abia","Southeast",49.16654183,423852
"66","Ikechukwu Maternity",7,1,"Abia","Southeast",49.16654183,423852
"67","Comprehensive Health Centre Umunkwulo/Umuagbai",3,0,"Abia","Southeast",49.16654183,423852
"70","Amaogbonna Square Health Post",0,0,"Abia","Southeast",49.16654183,423852
"71","Nnentu PHC",0,0,"Abia","Southeast",49.16654183,423852
"72","St John Jesus Hospital",12,1,"Abia","Southeast",49.16654183,423852
"73","College of Health Technology PHC",1,1,"Abia","Southeast",49.16654183,423852
"74","Asaeme Health Centre",2,0,"Abia","Southeast",49.16654183,423852
"75","Rhema Clinic Hospital",8,1,"Abia","Southeast",49.16654183,423852
"77","Chinwe Maternity",6,0,"Abia","Southeast",49.16654183,423852
"78","Marc Rose Hospital",3,1,"Abia","Southeast",49.16654183,423852
"79","Harvey Clinic",3,2,"Abia","Southeast",49.16654183,423852
"81","Asaokpoaja Health Centre",1,0,"Abia","Southeast",49.16654183,423852
"83","Oduca PHC",0,0,"Abia","Southeast",49.16654183,423852
