"","state","area","popu"
"1","Abia",22.77506109,107488
"55","Abia",49.16654183,423852
"117","Abia",524.2567225,170206
"166","Abia",601.5304693,192111
"219","Abia",281.516886,137993
"256","Abia",283.0211843,153734
"306","Abia",258.0980277,134762
"362","Abia",393.5685881,114442
"407","Abia",438.2592552,245144
"452","Abia",197.7711375,219632
"498","Abia",107.8673543,82618
"531","Abia",280.0866854,58865
"568","Abia",270.7246871,88555
"597","Abia",244.5984573,220660
"678","Abia",140.4096165,138570
"1822","Akwa Ibom",189.9845631,139090
"1839","Akwa Ibom",120.4946734,60543
"1845","Akwa Ibom",167.4831066,172557
"1864","Akwa Ibom",167.9649663,63701
"1875","Akwa Ibom",295.0497968,192668
"1889","Akwa Ibom",205.899836,105418
"1906","Akwa Ibom",174.8787999,169284
"1927","Akwa Ibom",243.2822484,75380
"1940","Akwa Ibom",154.4795722,137101
"1962","Akwa Ibom",336.9332489,189640
"1985","Akwa Ibom",112.7666613,72939
"1996","Akwa Ibom",258.9647779,131904
"2017","Akwa Ibom",359.5677943,132023
"2036","Akwa Ibom",115.858655,143077
"2060","Akwa Ibom",372.3852151,99196
"2082","Akwa Ibom",174.6557249,127033
"2092","Akwa Ibom",215.1422705,104012
"2107","Akwa Ibom",329.5264845,178036
"2129","Akwa Ibom",134.3068003,74595
"2135","Akwa Ibom",141.8677434,108611
"2151","Akwa Ibom",237.5241582,148281
"2172","Akwa Ibom",299.4975974,104057
"2184","Akwa Ibom",162.1015364,123373
"2203","Akwa Ibom",53.64798335,87461
"2217","Akwa Ibom",523.5944915,172654
"2237","Akwa Ibom",60.47341931,53278
"2244","Akwa Ibom",246.4012564,127033
"2260","Akwa Ibom",346.5393559,118300
"2274","Akwa Ibom",127.0164771,71159
"2287","Akwa Ibom",186.5181455,309573
"2333","Anambra",195.1025738,370172
"2418","Anambra",250.7540066,153331
"2441","Anambra",953.9856429,167416
"2464","Anambra",104.3814037,285002
"2492","Anambra",351.8354191,112608
"2526","Anambra",170.2695131,189049
"2573","Anambra",588.7147858,158410
"2593","Anambra",65.57204442,96382
"2627","Anambra",116.4667022,158231
"2686","Anambra",115.4812102,430783
"2764","Anambra",137.0704782,207683
"2805","Anambra",251.8348016,302158
"2876","Anambra",95.14449554,148465
"2916","Anambra",59.85220362,157569
"2974","Anambra",173.958056,233658
"3015","Anambra",453.5161543,221879
"3062","Anambra",10.01234052,136662
"3102","Anambra",42.14007024,124942
"3161","Anambra",297.2528423,172405
"3212","Anambra",192.3580533,187198
"3252","Anambra",136.4790225,168029
"4305","Bayelsa",1404.369323,185049
"4323","Bayelsa",1811.346174,270257
"4355","Bayelsa",760.2754602,130931
"4381","Bayelsa",695.165229,179926
"4409","Bayelsa",945.5708439,187146
"4448","Bayelsa",2683.720281,319413
"4493","Bayelsa",706.5354993,353344
"6508","Cross River",281.7728248,144802
"6557","Cross River",5001.719905,151125
"6598","Cross River",807.2272151,271395
"6634","Cross River",305.5696255,105822
"6699","Cross River",1310.419734,169183
"6749","Cross River",2770.246399,186141
"6817","Cross River",184.0515169,179392
"6879","Cross River",141.5588795,191630
"6910","Cross River",814.7361625,80196
"6953","Cross River",1960.78659,162383
"7035","Cross River",1056.104754,110324
"7085","Cross River",1114.494737,172444
"7144","Cross River",453.1460603,160106
"7233","Cross River",1354.442988,192444
"7273","Cross River",972.2577511,171901
"7330","Cross River",669.587039,196450
"7377","Cross River",1738.744335,210843
"7457","Delta",406.4548554,104711
"7487","Delta",868.3593697,140604
"7514","Delta",128.9961006,86644
"7532","Delta",1938.904411,209666
"7571","Delta",380.549059,200792
"7598","Delta",536.8423915,203592
"7625","Delta",463.11865,183657
"7657","Delta",435.8570098,162594
"7687","Delta",477.7137096,144155
"7719","Delta",704.3555502,227712
"7755","Delta",1618.051663,103171
"7791","Delta",816.4445634,149325
"7825","Delta",445.3813938,130029
"7856","Delta",509.7564675,115316
"7879","Delta",267.7337215,149603
"7912","Delta",217.1697872,67707
"7925","Delta",450.5395605,171888
"7958","Delta",130.8391094,143361
"7980","Delta",818.680416,321028
"8025","Delta",786.2731833,213576
"8061","Delta",409.3372608,120390
"8094","Delta",95.22118617,191472
"8162","Delta",1842.139974,137300
"8183","Delta",633.7679843,303417
"8243","Delta",1723.109198,116681
"8263","Ebonyi",584.0551672,151723
"8313","Ebonyi",240.1574665,156611
"8348","Ebonyi",377.6751961,157072
"8375","Ebonyi",443.482387,126837
"8436","Ebonyi",304.5507269,145619
"8477","Ebonyi",324.3020835,133205
"8514","Ebonyi",577.0883626,214604
"8571","Ebonyi",872.4397666,151048
"8617","Ebonyi",244.8451009,120919
"8651","Ebonyi",1068.643936,234072
"8715","Ebonyi",311.662408,148626
"8751","Ebonyi",516.8795589,196337
"8814","Ebonyi",476.231073,236828
"8860","Edo",1371.71971,262110
"8900","Edo",92.94754751,339899
"8968","Edo",338.5274937,105310
"8994","Edo",252.6356913,119346
"9024","Edo",1306.968189,167721
"9063","Edo",502.4137594,125842
"9098","Edo",660.3800436,94575
"9124","Edo",1133.424248,145996
"9154","Edo",946.1014423,197609
"9209","Edo",862.9547205,371106
"9277","Edo",249.3820332,374671
"9358","Edo",2302.510617,153849
"9393","Edo",2805.720473,135356
"9425","Edo",1241.134812,154385
"9463","Edo",732.0475785,97388
"9500","Edo",2034.487419,120813
"9545","Ekiti",293.6513001,308621
"9617","Ekiti",232.2607155,86941
"9648","Ekiti",320.8415783,137955
"9676","Ekiti",345.9703741,165277
"9704","Ekiti",366.1935618,179892
"9737","Ekiti",301.0868812,93884
"9754","Ekiti",391.578957,148193
"9785","Ekiti",231.7622731,159114
"9812","Ekiti",391.1449345,221405
"9849","Ekiti",262.8659453,147355
"9878","Ekiti",1073.271679,168436
"9910","Ekiti",95.00090309,43530
"9923","Ekiti",356.5173426,129149
"9957","Ekiti",432.2732446,113754
"9987","Ekiti",199.6412389,146496
"10007","Ekiti",507.4410588,134210
"10035","Enugu",363.620773,133723
"10056","Enugu",446.2643807,198134
"10078","Enugu",383.3100179,279089
"10135","Enugu",106.3694216,244852
"10200","Enugu",67.43521514,198723
"10271","Enugu",633.0142086,169718
"10327","Enugu",325.4243512,209248
"10387","Enugu",293.282841,259431
"10443","Enugu",157.804741,147328
"10490","Enugu",877.1684236,148415
"10517","Enugu",224.7961883,146695
"10557","Enugu",484.2060429,309633
"10631","Enugu",403.2371531,126587
"10683","Enugu",248.2215213,178466
"10747","Enugu",897.2235011,234002
"10803","Enugu",854.9982898,124480
"11606","Imo",184.4838696,195652
"11663","Imo",113.7162833,170902
"11720","Imo",168.6249151,130931
"11764","Imo",109.3306859,165593
"11814","Imo",190.2519118,158406
"11860","Imo",88.49410163,159879
"11890","Imo",103.9749319,120744
"11923","Imo",178.761578,149316
"11994","Imo",165.6060344,198736
"12046","Imo",40.06010362,164468
"12078","Imo",204.0664026,237555
"12129","Imo",561.3238092,159932
"12180","Imo",83.96917055,145110
"12200","Imo",38.07506643,80152
"12222","Imo",63.28562693,128472
"12240","Imo",93.28285205,118114
"12275","Imo",483.6417368,143008
"12300","Imo",890.5895668,182538
"12339","Imo",320.3747651,132237
"12381","Imo",131.6468538,142717
"12449","Imo",55.85168391,120003
"12501","Imo",135.7261064,111822
"12532","Imo",93.32033027,117492
"12573","Imo",57.97098254,127213
"12652","Imo",198.2641868,175395
"12709","Imo",294.6143256,99265
"20504","Lagos",11.21455704,459939
"20561","Lagos",12.34939094,684105
"20621","Lagos",185.4670447,1277714
"20681","Lagos",134.7728785,318166
"20750","Lagos",26.69798227,217362
"20794","Lagos",442.0402377,241093
"20855","Lagos",1186.915542,181409
"20889","Lagos",192.6066506,287785
"20928","Lagos",455.3042673,117481
"20957","Lagos",26.65039245,427878
"21004","Lagos",46.22704785,313196
"21042","Lagos",394.4667107,535619
"21108","Lagos",81.52132353,665393
"21251","Lagos",8.673032387,209437
"21309","Lagos",19.49257208,317720
"21361","Lagos",17.50485671,633009
"21451","Lagos",158.3905153,598071
"21500","Lagos",44.82284879,621509
"21560","Lagos",11.56664488,402673
"21633","Lagos",23.03237442,503975
"24380","Ogun",808.8314933,201329
"24461","Ogun",71.47153479,250278
"24558","Ogun",878.9164562,526565
"24687","Ogun",594.9150083,55156
"24721","Ogun",521.9265769,524837
"24878","Ogun",2236.583066,110196
"24922","Ogun",967.9979216,284336
"24990","Ogun",118.1602525,67634
"25027","Ogun",191.9014879,154032
"25124","Ogun",143.9043352,118735
"25149","Ogun",1657.508241,82217
"25188","Ogun",630.3391939,150426
"25256","Ogun",1411.679763,228851
"25339","Ogun",1562.191301,109449
