ID,Label,Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Authority,Hub
9,9,2,7,0.236363636,0.012094672,0,0.003504673,0.003504673
34,34,1,8,0.191489362,0,0,0.002336449,0.002336449
55,55,3,6,0.307086614,0.023980815,0,0.004672897,0.004672897
10,10,1,6,0.281927711,0,2,0.002336449,0.002336449
260,260,8,5,0.391304348,0.024203494,2,0.010514019,0.010514019
11,11,1,6,0.316216216,0,4,0.002336449,0.002336449
280,280,22,5,0.460629921,0.070742699,4,0.02686916,0.02686916
16,16,1,6,0.311170213,0,2,0.002336449,0.002336449
32,32,19,5,0.45,0.056852598,2,0.023364486,0.023364486
25,25,2,6,0.302325581,0.001621335,0,0.003504673,0.003504673
101,101,9,5,0.414893617,0.05271672,0,0.011682243,0.011682243
86,86,4,6,0.315363881,0.013906116,0,0.005841122,0.005841122
27,27,3,6,0.324099723,6.84E-05,0,0.004672897,0.004672897
411,411,21,5,0.433333333,0.089662166,0,0.025700934,0.025700934
160,160,14,5,0.409090909,0.024493457,0,0.017523365,0.017523365
412,412,10,6,0.362229102,0.008328628,0,0.012850467,0.012850467
72,72,1,6,0.311170213,0,2,0.002336449,0.002336449
67,67,7,5,0.396610169,2.77E-04,2,0.009345794,0.009345794
94,94,9,5,0.396610169,0.030066274,3,0.011682243,0.011682243
73,73,1,6,0.311170213,0,2,0.002336449,0.002336449
110,110,13,5,0.427007299,0.008266112,2,0.01635514,0.01635514
205,205,5,5,0.3556231,0.013673035,4,0.007009346,0.007009346
242,242,10,5,0.414893617,0.028309065,0,0.012850467,0.012850467
226,226,8,5,0.403448276,0.001588472,2,0.010514019,0.010514019
207,207,14,5,0.413427562,0.011167157,2,0.017523365,0.017523365
206,206,28,5,0.473684211,0.136710912,1,0.033878505,0.033878505
279,279,10,5,0.422382671,0.046525999,2,0.012850467,0.012850467
271,271,7,5,0.384868421,0.013225283,2,0.009345794,0.009345794
259,259,34,4,0.531818182,0.149669091,2,0.04088785,0.04088785
245,245,7,5,0.387417219,0.002708492,2,0.009345794,0.009345794
388,388,19,5,0.45,0.028844886,0,0.023364486,0.023364486
353,353,18,5,0.428571429,0.056054825,3,0.022196261,0.022196261
352,352,20,5,0.455252918,0.031566811,2,0.024532711,0.024532711
33,33,13,5,0.410526316,0.028232292,3,0.01635514,0.01635514
183,183,22,5,0.419354839,0.059407858,3,0.02686916,0.02686916
68,68,4,5,0.365625,0.004050401,4,0.005841122,0.005841122
35,35,1,6,0.291770574,0,3,0.002336449,0.002336449
148,148,10,5,0.393939394,0.004968619,3,0.012850467,0.012850467
395,395,11,5,0.402061856,0.018544564,0,0.014018691,0.014018691
316,316,4,5,0.36,0.002626794,3,0.005841122,0.005841122
40,40,4,3,0.52,0.004770097,10,0.005841122,0.005841122
143,143,2,4,0.393939394,3.13E-04,10,0.003504673,0.003504673
37,37,2,6,0.344117647,2.98E-04,3,0.003504673,0.003504673
46,46,7,6,0.335243553,0.005433112,5,0.009345794,0.009345794
224,224,4,5,0.32320442,0.001086345,5,0.005841122,0.005841122
132,132,1,4,0.351351351,0,10,0.002336449,0.002336449
80,80,2,4,0.419354839,0.003127932,10,0.003504673,0.003504673
341,341,6,4,0.52,0.004570257,10,0.00817757,0.00817757
44,44,1,6,0.254901961,0,10,0.002336449,0.002336449
104,104,3,5,0.333333333,0.002398082,10,0.004672897,0.004672897
65,65,4,5,0.344117647,0.003957202,5,0.005841122,0.005841122
202,202,5,5,0.345132743,0.001556818,5,0.007009346,0.007009346
51,51,2,6,0.332386364,1.48E-04,3,0.003504673,0.003504673
290,290,10,5,0.381107492,0.020928621,5,0.012850467,0.012850467
49,49,1,6,0.32231405,0,1,0.002336449,0.002336449
50,50,3,6,0.296954315,0.023980815,7,0.004672897,0.004672897
87,87,2,7,0.229862475,0,7,0.003504673,0.003504673
52,52,1,1,1,0,6,0.002336449,0.002336449
126,126,1,1,1,0,6,0.002336449,0.002336449
192,192,17,5,0.431734317,0.049249212,2,0.021028038,0.021028038
97,97,2,6,0.305483029,0,0,0.003504673,0.003504673
112,112,2,7,0.229862475,0,7,0.003504673,0.003504673
57,57,1,6,0.296202532,0,3,0.002336449,0.002336449
303,303,8,5,0.384868421,0.041651281,4,0.010514019,0.010514019
63,63,1,1,1,0,8,0.002336449,0.002336449
155,155,1,1,1,0,8,0.002336449,0.002336449
408,408,2,6,0.277251185,0,5,0.003504673,0.003504673
78,78,1,6,0.32231405,0,1,0.002336449,0.002336449
77,77,2,7,0.242236025,0.012094672,9,0.003504673,0.003504673
